% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=149041, Mon Feb 25 20:32:31 2019
1 10 -0.08666047780780343 -0.0021568855649250806 1.2392799390493085e-05 0.05697910816500169 1 1 1 1 1 1 1 1 1 1
2 20 -0.10063325603958073 -0.00038972510886067644 0.002724871675656014 0.049665929467465536 1 1 1 1 1 1 1 1 1 1
3 30 -0.09163093394787333 -0.002659989757826838 0.001146129861910525 0.08161921419194548 1 1 1 1 1 1 1 1 1 1
4 40 -0.12826548060448503 -0.0005695399350397725 0.002586192482052472 0.17281298905688275 1 1 1 1 1 1 1 1 1 1
5 50 -0.15760531488362706 -0.015192814855425632 0.018236430548454412 0.2092883689596929 1 1 1 1 1 1 1 1 1 1
6 60 -0.1688340148680057 -0.006319417988031663 0.0012627611993625742 0.19913610450911298 1 1 1 1 1 1 1 1 1 1
7 70 -0.17356896742246714 -0.006988597662244582 0.0026702483509078723 0.21928493557752782 1 1 1 1 1 1 1 1 1 1
8 80 -0.1944143753601624 -0.011295919359129639 0.0007643699587523503 0.22106181688128154 1 1 1 1 1 1 1 1 1 1
9 90 -0.2090142216769011 -0.0069668137896731624 0.0030505924527780785 0.257587345121898 1 1 1 1 1 1 1 1 1 1
10 100 -0.24476688809991357 -0.003103409432042041 0.004548354577038578 0.30195179690001167 1 1 1 1 1 1 1 1 1 1
11 110 -0.24700271964849768 -0.0009260591466167193 0.00036294402109026227 0.3034129864331453 1 1 1 1 1 1 1 1 1 1
12 120 -0.2731760825952152 -0.0008791437275808884 0.00896776509748881 0.3029622140605218 1 1 1 1 1 1 1 1 1 1
13 130 -0.2877273025399636 -0.002169111973540041 0.011039159164359328 0.2999121264674377 1 1 1 1 1 1 1 1 1 1
14 140 -0.3206112521621222 -0.0042985602699655324 4.9720487220972624e-05 0.28573028966483 1 1 1 1 1 1 1 1 1 1
15 150 -0.3458066483694174 -0.006046652517593032 0.005641362941648829 0.3090889831624021 1 1 1 1 1 1 1 1 1 1
16 160 -0.37600290163228994 -0.0027790901275779704 0.0003524148489567225 0.30815774150104547 1 1 1 1 1 1 1 1 1 1
17 170 -0.38070447275906644 -0.025681034838600927 0.0020433423201473315 0.308592258992462 1 1 1 1 1 1 1 1 1 1
18 180 -0.3902800020822652 -0.02156314703163141 0.002656162494241986 0.3106176833172828 1 1 1 1 1 1 1 1 1 1
19 190 -0.4269151469843372 -0.004564071325955831 0.001470916986451836 0.3101184533365292 1 1 1 1 1 1 1 1 1 1
20 200 -0.39590816038276305 -0.011011906701672878 0.007919972323259264 0.337909096102655 1 1 1 1 1 1 1 1 1 1
21 210 -0.4277600567529295 -0.003442099504139328 0.005833342981065729 0.35905307188370855 1 1 1 1 1 1 1 1 1 1
22 220 -0.43354211645718455 -0.0017291847205300457 0.007517664380892749 0.340680495988346 1 1 1 1 1 1 1 1 1 1
23 230 -0.4414279481835806 -0.001667546148183529 0.00961200304265919 0.38122487327033894 1 1 1 1 1 1 1 1 1 1
24 240 -0.44301247200318966 -0.041795116928241616 0.0031689802131691217 0.4120762878363121 1 1 1 1 1 1 1 1 1 1
25 250 -0.4272610586236456 -0.015594581158682109 0.005959251459909781 0.35023970049274145 1 1 1 1 1 1 1 1 1 1
26 260 -0.44948428083336023 -0.0006356328203828569 0.022407222219357183 0.3491970360926897 1 1 1 1 1 1 1 1 1 1
27 270 -0.45041401159517974 -0.0013081850060286781 0.019417931533421414 0.40679520878225084 1 1 1 1 1 1 1 1 1 1
28 280 -0.46076588319594547 -0.006858176686667804 0.0035631856047751956 0.4140656481447389 1 1 1 1 1 1 1 1 1 1
29 290 -0.5134731244022709 -0.0029217312991709965 0.03126869709662738 0.4239285037017052 1 1 1 1 1 1 1 1 1 1
30 300 -0.4816046720552629 -0.013917188957517023 0.006914019892534208 0.3993877077843217 1 1 1 1 1 1 1 1 1 1
31 310 -0.46383455309681226 -0.020283015080032524 0.0050242168805405135 0.37862636019048956 1 1 1 1 1 1 1 1 1 1
32 320 -0.428994348305809 -0.003422603706432626 0.020773113252874956 0.39850365159634465 1 1 1 1 1 1 1 1 1 1
33 330 -0.448541969035635 -0.017911263987549997 0.0008464928240122673 0.36929600804615687 1 1 1 1 1 1 1 1 1 1
34 340 -0.45388853756751585 -0.006657106504925976 0.0073698534018466905 0.3770607649430032 1 1 1 1 1 1 1 1 1 1
35 350 -0.43284492535441926 -2.4817434921872425e-05 0.012534202622409861 0.3768663870779859 1 1 1 1 1 1 1 1 1 1
36 360 -0.4109090041821732 -0.010089529757201503 0.001444543876500075 0.38857213088749576 1 1 1 1 1 1 1 1 1 1
37 370 -0.41075687718730286 -0.00449240336699617 0.0013156615054265024 0.3935043078677474 1 1 1 1 1 1 1 1 1 1
38 380 -0.43937763627531917 -0.0025705316174927237 0.01197847343625225 0.39520166680988905 1 1 1 1 1 1 1 1 1 1
39 390 -0.4559940852581405 -0.0018796230946597496 0.003138164481124929 0.40633448096659086 1 1 1 1 1 1 1 1 1 1
40 400 -0.46303330335995974 -0.0022562313686556802 0.013188694610515167 0.44941768837736484 1 1 1 1 1 1 1 1 1 1
41 410 -0.45133190780300264 -0.007230762662386562 0.021502293581872892 0.4516111199145939 1 1 1 1 1 1 1 1 1 1
42 420 -0.4484498711148495 -0.012512231901818185 0.010879928003857309 0.4335421783067213 1 1 1 1 1 1 1 1 1 1
43 430 -0.4331028431704501 -0.0005293706064771989 0.009484850637195494 0.442254699763648 1 1 1 1 1 1 1 1 1 1
